cohort	gene	celltype	mean_expression	detection_fraction	donor_count	detected_donor_count	status	bootstrap_first_frequency
GSE263733	AGXT	Acinar	0.0	0.0	4	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	AGXT	B/Plasma	0.04016337828283475	0.0007262164124909176	17	1	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	AGXT	Endothelial	0.0	0.0	4	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	AGXT	Epithelial/Ductal	0.09663393299985988	0.0031207377549776166	18	9	EVALUABLE	0.988
GSE263733	AGXT	Fibroblast/CAF	0.040383170957400245	0.0003756574004507818	11	1	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	AGXT	Myeloid	0.0	0.0	20	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	AGXT	T/NK	0.03248688199750778	0.00020040414762440998	20	4	EVALUABLE	0.012
GSE263733	AGXT2	Acinar	0.0	0.0	4	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	AGXT2	B/Plasma	0.0	0.0	17	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	AGXT2	Endothelial	0.0	0.0	4	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	AGXT2	Epithelial/Ductal	0.006711551411724483	0.0002426006792819	18	1	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	AGXT2	Fibroblast/CAF	0.0	0.0	11	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	AGXT2	Myeloid	0.0	0.0	20	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	AGXT2	T/NK	0.0	0.0	20	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	AHCY	Acinar	2.4724390433392625	0.17279985128747385	4	3	EVALUABLE	0.0
GSE263733	AHCY	B/Plasma	3.1234099443495973	0.13568465834439608	17	17	EVALUABLE	0.0
GSE263733	AHCY	Endothelial	2.8656899959251003	0.21312941018561127	4	4	EVALUABLE	0.0
GSE263733	AHCY	Epithelial/Ductal	4.0058936985579665	0.5820203506098428	18	18	EVALUABLE	0.985
GSE263733	AHCY	Fibroblast/CAF	3.7523287979262103	0.4167554463191123	11	11	EVALUABLE	0.015
GSE263733	AHCY	Myeloid	3.305792159719098	0.24801986402367918	20	20	EVALUABLE	0.0
GSE263733	AHCY	T/NK	2.684341336001804	0.05769787974871522	20	20	EVALUABLE	0.0
GSE263733	AK4	Acinar	1.0626346742141304	0.045706350910759225	4	3	EVALUABLE	0.001
GSE263733	AK4	B/Plasma	0.18832865160501502	0.0023792728712451177	17	5	EVALUABLE	0.0
GSE263733	AK4	Endothelial	2.4021779410601862	0.1385127847445927	4	4	EVALUABLE	0.0
GSE263733	AK4	Epithelial/Ductal	3.5313663185297326	0.5008678608574467	18	18	EVALUABLE	0.987
GSE263733	AK4	Fibroblast/CAF	2.650669097908127	0.2553899392813465	11	10	EVALUABLE	0.012
GSE263733	AK4	Myeloid	2.124737829121148	0.11169337563452793	20	18	EVALUABLE	0.0
GSE263733	AK4	T/NK	1.1156916639705763	0.010872616362741689	20	19	EVALUABLE	0.0
GSE263733	AK9	Acinar	1.5746479024442404	0.0772389590291112	4	4	EVALUABLE	0.025
GSE263733	AK9	B/Plasma	2.3796617145770926	0.09049616053389231	17	17	EVALUABLE	0.3
GSE263733	AK9	Endothelial	2.4746113342562954	0.14894263403129313	4	4	EVALUABLE	0.645
GSE263733	AK9	Epithelial/Ductal	1.843226339422647	0.17502398860086432	18	18	EVALUABLE	0.0
GSE263733	AK9	Fibroblast/CAF	1.1499876087968386	0.052244799019402904	11	9	EVALUABLE	0.0
GSE263733	AK9	Myeloid	1.3721875266157704	0.04558562894981345	20	19	EVALUABLE	0.0
GSE263733	AK9	T/NK	2.3351147254701634	0.05050428419976679	20	20	EVALUABLE	0.03
GSE263733	AKR1A1	Acinar	3.60516439251649	0.19601645032604864	4	4	EVALUABLE	0.0
